Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
10.21.58.181,224.0.0.251,17,5353,5353,833,44.032950
10.21.61.159,23.72.252.155,6,55272,443,2640,59.390153
23.72.252.155,10.21.61.159,6,443,55272,3102,58.126608
10.21.61.159,42.236.81.163,6,37941,443,6793,10.027208
42.236.81.163,10.21.61.159,6,443,37941,2314,10.014853
121.30.176.241,10.21.61.159,6,443,37879,1112,45.803171
10.21.61.159,121.30.176.241,6,37879,443,880,45.853044
10.21.61.159,113.57.56.109,6,37890,443,1401,9.699710
113.57.56.109,10.21.61.159,6,443,37890,3090,9.696748
10.21.58.181,224.0.0.251,17,42377,5353,486,49.980256
10.21.61.159,42.236.81.163,6,55220,443,3369,52.504157
42.236.81.163,10.21.61.159,6,443,55220,3813,52.503965
10.21.61.159,113.57.56.109,6,47678,443,1035,0.045467
113.57.56.109,10.21.61.159,6,443,47678,6011,0.043153
10.21.61.159,113.57.56.233,6,10113,443,4782,5.594267
113.57.56.233,10.21.61.159,6,443,10113,1142,5.590890
10.21.61.159,49.232.165.197,6,47669,443,241,30.025415
49.232.165.197,10.21.61.159,6,443,47669,532,30.002539
10.21.61.159,180.76.76.76,1,0,0,296,45.688924
180.76.76.76,10.21.61.159,1,0,0,296,45.688938
10.21.61.159,10.21.63.254,1,0,0,296,45.688287
10.21.63.254,10.21.61.159,1,0,0,296,45.688269
10.21.61.159,224.0.0.22,2,0,0,1150,11.495910
10.21.61.159,61.163.9.199,6,37940,443,108,0.014469
10.21.61.159,119.36.63.208,6,37875,443,108,0.047098
10.21.61.159,119.36.175.59,6,47575,443,108,0.009676
10.21.61.159,224.0.0.252,17,62147,5355,126,0.421218
119.36.175.59,10.21.61.159,6,443,47575,60,0.001
61.163.9.199,10.21.61.159,6,443,37940,60,0.001
10.21.61.159,239.255.255.250,17,62453,1900,179,0.001
10.21.61.159,122.189.168.195,6,55276,443,108,0.005585
10.21.61.159,183.93.116.80,6,55275,443,108,0.039954
10.21.61.159,114.250.67.33,6,55260,443,108,0.017927
10.21.61.159,157.148.54.12,6,15558,443,108,0.029180
122.189.168.195,10.21.61.159,6,443,55276,60,0.001
119.36.63.208,10.21.61.159,6,443,37875,60,0.001
114.250.67.33,10.21.61.159,6,443,55260,60,0.001
10.21.61.159,121.30.176.241,6,1401,443,108,0.029382
157.148.54.12,10.21.61.159,6,443,15558,60,0.001
183.93.116.80,10.21.61.159,6,443,55275,60,0.001
121.30.176.241,10.21.61.159,6,443,1401,60,0.001
10.21.61.159,113.57.56.233,6,55262,443,108,0.003319
10.21.61.159,239.255.255.250,17,65135,1900,716,5.704027
113.57.56.233,10.21.61.159,6,443,55262,60,0.001
10.21.61.159,202.114.0.131,17,50023,53,641,9.003902
202.114.0.131,10.21.61.159,17,53,50023,1369,9.003614
10.21.61.159,61.163.9.203,6,49797,443,5963,6.162216
61.163.9.203,10.21.61.159,6,443,49797,1537,6.146350
10.21.61.159,224.0.0.252,17,54788,5355,126,0.419720
121.30.176.241,10.21.61.159,6,443,37871,558,34.211583
10.21.61.159,121.30.176.241,6,37871,443,496,34.210904
10.21.61.159,239.255.255.250,17,50078,1900,848,3.010745
10.21.61.159,103.181.164.189,6,37938,20012,341,0.109127
10.21.61.159,103.181.164.189,6,35216,20012,6681,6.658442
103.181.164.189,10.21.61.159,6,20012,37938,240,0.062014
103.181.164.189,10.21.61.159,6,20012,35216,7590,6.604432
10.21.61.159,224.0.0.251,17,5353,5353,3976,14.706961
10.21.61.159,10.21.63.255,17,137,137,552,9.345371
10.21.61.159,224.0.0.252,17,64480,5355,128,0.420736
10.21.61.159,224.0.0.252,17,53760,5355,128,0.420112
10.21.61.159,202.114.0.131,17,59148,53,341,3.652933
202.114.0.131,10.21.61.159,17,53,59148,480,3.652422
10.21.61.159,153.3.238.28,1,0,0,888,20.183494
153.3.238.28,10.21.61.159,1,0,0,888,20.183175
10.21.61.159,61.135.208.140,6,35219,443,3524,0.127696
61.135.208.140,10.21.61.159,6,443,35219,5603,0.103607
