Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
112.65.219.203,183.94.22.40,17,1113,52500,11999909,120.492
183.94.22.81,116.162.16.190,6,56166,80,5727561,120.494
218.106.117.231,27.39.114.112,6,51172,43325,4002232,120.498
115.156.142.194,18.182.32.116,6,54087,21581,3657971,120.5
222.191.212.123,183.95.73.13,17,53047,58958,2161398,120.502
115.156.142.140,222.192.187.243,6,38274,443,2065840,120.505
115.156.142.193,120.201.61.2,1,,,1979077,120.507
115.156.143.239,23.66.38.214,17,42409,443,1484120,120.507
115.156.141.224,45.205.0.99,6,58551,443,1304842,120.508
111.13.88.250,115.156.141.155,6,443,46538,1269970,120.508
43.136.243.71,115.156.144.108,6,443,7872,1226068,120.508
218.106.117.236,220.202.20.244,6,54128,443,1064365,120.508
182.50.15.211,115.156.141.194,6,80,54253,972748,120.513
1.95.21.35,115.156.142.14,6,443,55308,963222,120.515
61.241.56.147,183.95.73.51,17,3478,49676,1900,2493.037
123.139.34.151,183.94.22.23,17,13739,21640,1877,2493.365
222.20.64.75,103.224.182.212,6,57406,1883,1876,2493.631
183.94.22.88,116.153.60.140,6,51163,443,1852,2493.72
202.114.15.14,112.46.222.201,6,59267,18703,1844,2493.791
61.240.206.10,183.94.22.48,6,443,49579,1839,2494.17
115.156.144.115,20.189.173.3,6,12291,443,1836,2494.233
109.244.248.90,115.156.144.37,17,11798,55031,1831,2494.279
115.156.144.36,43.159.244.79,6,60000,443,1809,2494.516
211.91.233.147,183.94.22.52,6,443,9502,1805,2494.783
115.156.144.157,45.205.0.99,6,52577,443,1794,2494.866
61.49.107.143,183.94.22.39,17,32028,49548,1791,2494.88
20.189.173.3,115.156.144.115,6,443,12291,1779,2494.889
115.156.143.28,123.185.185.122,17,41199,19906,1773,2495.06
34.101.50.133,222.20.98.67,6,80,36222,1761,2495.118
183.94.22.58,61.242.185.170,17,8254,9880,1752,2495.132
222.199.191.41,115.156.143.10,6,80,51852,1747,2495.135
222.192.187.254,115.156.144.35,6,443,49974,1745,2495.183
222.199.191.41,115.156.144.52,6,80,40672,1741,2495.224
43.141.132.36,115.156.144.92,6,80,53659,1739,2495.415
157.255.218.116,218.106.117.236,6,443,50568,1736,2495.504
222.199.191.41,115.156.142.194,6,80,36748,1736,2495.619
123.6.28.35,218.106.117.236,6,443,21353,1725,2495.849
